Rating,Test,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Sentiment,Predicted_Sentiment
Positive,This chocolate cake is absolutely delicious! The perfect balance of sweetness.,,,,,,,,,,Positive,Neutral
Negative,The canned soup was bland and lacked any real flavor.,,,,,,,,,,Negative,Negative
neutral,"The granola was decent, but a bit too sweet for my liking.",,,,,,,,,,Neutral,Negative
Positive,The spicy ramen noodles had a great flavor and just the right amount of heat.,,,,,,,,,,Positive,Neutral
Negative,This cheese tasted like plastic and had a terrible aftertaste.,,,,,,,,,,Negative,Negative
neutral,"The instant noodles were passable, but nothing to write home about.",,,,,,,,,,Neutral,Negative
Negative,The pasta was overcooked and mushy. Very disappointing.,,,,,,,,,,Negative,Negative
Positive,Loved the fresh and crisp vegetables in this salad mix. Very refreshing.,,,,,,,,,,Positive,Neutral
Positive,The organic apple juice tastes fantastic and has no added sugar.,,,,,,,,,,Positive,Neutral
neutral,"The canned beans were okay, but could use more seasoning.",,,,,,,,,,Neutral,Negative
Negative,The frozen lasagna was watery and lacked any seasoning.,,,,,,,,,,Negative,Negative
Negative,These chips were too salty and left a bad aftertaste.,,,,,,,,,,Negative,Negative
Positive,These gourmet cookies are a real treat! Soft and chewy with rich flavors.,,,,,,,,,,Positive,Neutral
neutral,"The bottled water tasted clean, but it's just water.",,,,,,,,,,Neutral,Negative
Negative,The coffee had a burnt taste and was very bitter.,,,,,,,,,,Negative,Negative
Positive,The grilled chicken was perfectly seasoned and very juicy,,,,,,,,,,Positive,Neutral
Positive,Really enjoyed the tangy taste of this Greek yogurt. It's my new favorite.,,,,,,,,,,Positive,Neutral
Negative,This brand of ice cream was icy and not creamy at all.,,,,,,,,,,Negative,Negative
Positive,The fresh strawberries were sweet and juicy. Great for a healthy snack.,,,,,,,,,,Positive,Neutral
Positive,"This artisanal bread has a wonderful texture and a rich, hearty flavor.",,,,,,,,,,Positive,Neutral
Negative,The orange juice tasted artificial and way too sweet.,,,,,,,,,,Negative,Negative
